binned_latitude,binned_longitude,binned_house_age,binned_number_of_convenience_stores,distance_to_nearest_MRT,house_price_of_unit_area
"(24.949, 24.965]","(121.511, 121.529]","(26.28, 35.04]","(-0.01, 2.0]",1735.595,25.9
"(24.982, 24.998]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",329.9747,51.8
"(24.949, 24.965]","(121.473, 121.492]","(26.28, 35.04]","(-0.01, 2.0]",5512.038,17.4
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(-0.01, 2.0]",339.2289,26.5
"(24.965, 24.982]","(121.511, 121.529]","(8.76, 17.52]","(-0.01, 2.0]",444.1334,43.9
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",292.9978,63.3
"(24.949, 24.965]","(121.529, 121.548]","(17.52, 26.28]","(-0.01, 2.0]",837.7233,28.8
"(24.965, 24.982]","(121.511, 121.529]","(8.76, 17.52]","(2.0, 4.0]",1485.097,30.7
"(24.949, 24.965]","(121.511, 121.529]","(8.76, 17.52]","(2.0, 4.0]",2288.011,24.4
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",289.3248,53.0
"(24.949, 24.965]","(121.511, 121.529]","(-0.0438, 8.76]","(2.0, 4.0]",2147.376,31.7
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(6.0, 8.0]",493.657,40.6
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(2.0, 4.0]",815.9314,38.1
"(24.965, 24.982]","(121.511, 121.529]","(17.52, 26.28]","(2.0, 4.0]",1783.18,23.7
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(4.0, 6.0]",482.7581,41.1
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",390.5684,40.1
"(24.949, 24.965]","(121.529, 121.548]","(17.52, 26.28]","(-0.01, 2.0]",837.7233,23.0
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(-0.01, 2.0]",252.5822,117.5
"(24.965, 24.982]","(121.529, 121.548]","(17.52, 26.28]","(6.0, 8.0]",451.6419,26.5
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",492.2313,40.5
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(-0.01, 2.0]",170.1289,29.3
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(6.0, 8.0]",394.0173,41.0
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(6.0, 8.0]",23.38284,49.7
"(24.949, 24.965]","(121.529, 121.548]","(17.52, 26.28]","(4.0, 6.0]",461.1016,34.0
"(24.949, 24.965]","(121.511, 121.529]","(17.52, 26.28]","(2.0, 4.0]",2185.128,27.7
"(24.949, 24.965]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",208.3905,44.0
"(24.965, 24.982]","(121.511, 121.529]","(-0.0438, 8.76]","(2.0, 4.0]",1554.25,31.1
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",184.3302,45.4
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(8.0, 10.0]",387.7721,44.8
"(24.949, 24.965]","(121.548, 121.566]","(-0.0438, 8.76]","(-0.01, 2.0]",1455.798,25.6
"(24.982, 24.998]","(121.511, 121.529]","(26.28, 35.04]","(-0.01, 2.0]",1978.671,23.5
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(6.0, 8.0]",383.2805,34.4
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(2.0, 4.0]",718.2937,55.3
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(8.0, 10.0]",90.45606,56.3
"(24.949, 24.965]","(121.529, 121.548]","(17.52, 26.28]","(4.0, 6.0]",461.1016,32.9
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",323.6912,51.0
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",289.3248,44.5
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(-0.01, 2.0]",490.3446,37.0
"(24.949, 24.965]","(121.529, 121.548]","(-0.0438, 8.76]","(6.0, 8.0]",56.47425,54.4
"(24.949, 24.965]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",395.6747,24.5
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(6.0, 8.0]",383.2805,42.5
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(4.0, 6.0]",335.5273,38.1
"(24.949, 24.965]","(121.511, 121.529]","(17.52, 26.28]","(2.0, 4.0]",2179.59,21.8
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(2.0, 4.0]",1144.436,34.1
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(2.0, 4.0]",567.0349,28.5
"(24.932, 24.949]","(121.492, 121.511]","(8.76, 17.52]","(-0.01, 2.0]",4082.015,16.7
"(24.982, 24.998]","(121.529, 121.548]","(26.28, 35.04]","(8.0, 10.0]",121.7262,46.1
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(2.0, 4.0]",156.2442,36.9
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(-0.01, 2.0]",461.7848,35.7
"(24.949, 24.965]","(121.511, 121.529]","(8.76, 17.52]","(2.0, 4.0]",2288.011,23.2
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(-0.01, 2.0]",439.7105,38.4
"(24.965, 24.982]","(121.511, 121.529]","(17.52, 26.28]","(2.0, 4.0]",1626.083,29.4
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",289.3248,55.0
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(-0.01, 2.0]",169.9803,50.2
"(24.949, 24.965]","(121.548, 121.566]","(8.76, 17.52]","(-0.01, 2.0]",3079.89,24.7
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",289.3248,53.0
"(24.949, 24.965]","(121.529, 121.548]","(26.28, 35.04]","(-0.01, 2.0]",1264.73,19.1
"(24.949, 24.965]","(121.548, 121.566]","(8.76, 17.52]","(-0.01, 2.0]",1643.499,24.7
"(24.965, 24.982]","(121.529, 121.548]","(17.52, 26.28]","(2.0, 4.0]",537.7971,42.2
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(8.0, 10.0]",318.5292,78.0
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",104.8101,42.8
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",577.9615,41.6
"(24.982, 24.998]","(121.511, 121.529]","(8.76, 17.52]","(-0.01, 2.0]",1756.411,27.3
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(6.0, 8.0]",250.631,42.0
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(-0.01, 2.0]",752.7669,37.5
"(24.982, 24.998]","(121.529, 121.548]","(-0.0438, 8.76]","(8.0, 10.0]",379.5575,49.8
"(24.949, 24.965]","(121.529, 121.548]","(26.28, 35.04]","(4.0, 6.0]",272.6783,26.9
"(24.932, 24.949]","(121.492, 121.511]","(8.76, 17.52]","(-0.01, 2.0]",4197.349,18.6
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(2.0, 4.0]",964.7496,37.7
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(-0.01, 2.0]",187.4823,33.1
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(4.0, 6.0]",197.1338,42.5
"(24.949, 24.965]","(121.511, 121.529]","(8.76, 17.52]","(-0.01, 2.0]",1712.632,31.3
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(6.0, 8.0]",488.8193,38.1
"(24.949, 24.965]","(121.529, 121.548]","(-0.0438, 8.76]","(6.0, 8.0]",56.47425,62.1
"(24.965, 24.982]","(121.548, 121.566]","(-0.0438, 8.76]","(2.0, 4.0]",757.3377,36.7
"(24.965, 24.982]","(121.511, 121.529]","(8.76, 17.52]","(2.0, 4.0]",1497.713,23.6
"(24.932, 24.949]","(121.492, 121.511]","(8.76, 17.52]","(-0.01, 2.0]",4197.349,19.2
"(24.949, 24.965]","(121.529, 121.548]","(26.28, 35.04]","(-0.01, 2.0]",1156.777,12.8
"(24.932, 24.949]","(121.492, 121.511]","(17.52, 26.28]","(-0.01, 2.0]",4519.69,15.6
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(-0.01, 2.0]",617.7134,39.6
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",104.8101,38.4
"(24.982, 24.998]","(121.529, 121.548]","(26.28, 35.04]","(4.0, 6.0]",1013.341,22.8
"(24.949, 24.965]","(121.529, 121.548]","(26.28, 35.04]","(4.0, 6.0]",337.6016,36.5
"(24.982, 24.998]","(121.511, 121.529]","(-0.0438, 8.76]","(-0.01, 2.0]",1867.233,35.6
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(4.0, 6.0]",600.8604,30.9
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(8.0, 10.0]",258.186,36.3
"(24.982, 24.998]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",329.9747,50.4
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(-0.01, 2.0]",270.8895,42.9
"(24.965, 24.982]","(121.548, 121.566]","(8.76, 17.52]","(-0.01, 2.0]",750.0704,37.0
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(8.0, 10.0]",90.45606,53.5
"(24.982, 24.998]","(121.529, 121.548]","(26.28, 35.04]","(6.0, 8.0]",563.2854,46.6
"(24.982, 24.998]","(121.511, 121.529]","(26.28, 35.04]","(-0.01, 2.0]",3085.17,41.2
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(-0.01, 2.0]",185.4296,37.9
"(24.949, 24.965]","(121.511, 121.529]","(8.76, 17.52]","(-0.01, 2.0]",1712.632,30.8
"(24.949, 24.965]","(121.473, 121.492]","(8.76, 17.52]","(-0.01, 2.0]",6488.021,11.2
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",259.6607,53.7
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",104.8101,47.0
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",492.2313,42.3
"(24.949, 24.965]","(121.511, 121.529]","(-0.0438, 8.76]","(2.0, 4.0]",2180.245,28.6
"(24.949, 24.965]","(121.492, 121.511]","(17.52, 26.28]","(2.0, 4.0]",2674.961,25.7
"(24.949, 24.965]","(121.511, 121.529]","(-0.0438, 8.76]","(2.0, 4.0]",2147.376,31.3
"(24.949, 24.965]","(121.548, 121.566]","(8.76, 17.52]","(-0.01, 2.0]",1360.139,30.1
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",383.8624,60.7
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(-0.01, 2.0]",211.4473,45.3
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(8.0, 10.0]",338.9679,44.9
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",193.5845,45.1
"(24.949, 24.965]","(121.548, 121.566]","(-0.0438, 8.76]","(-0.01, 2.0]",2408.993,24.7
"(24.982, 24.998]","(121.529, 121.548]","(26.28, 35.04]","(8.0, 10.0]",87.30222,47.1
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(6.0, 8.0]",281.205,63.3
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(2.0, 4.0]",967.4,40.0
"(24.982, 24.998]","(121.529, 121.548]","(26.28, 35.04]","(8.0, 10.0]",109.9455,48.0
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(6.0, 8.0]",614.1394,33.1
"(24.949, 24.965]","(121.511, 121.529]","(8.76, 17.52]","(2.0, 4.0]",2261.432,29.5
"(24.949, 24.965]","(121.548, 121.566]","(8.76, 17.52]","(-0.01, 2.0]",1801.544,24.8
"(24.949, 24.965]","(121.511, 121.529]","(8.76, 17.52]","(-0.01, 2.0]",1828.319,20.9
"(24.965, 24.982]","(121.529, 121.548]","(17.52, 26.28]","(-0.01, 2.0]",350.8515,43.1
"(24.949, 24.965]","(121.511, 121.529]","(17.52, 26.28]","(2.0, 4.0]",2185.128,22.8
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",289.3248,42.1
"(24.949, 24.965]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",312.8963,51.7
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(6.0, 8.0]",157.6052,41.5
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(-0.01, 2.0]",274.0144,52.2
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",390.5684,49.5
"(24.949, 24.965]","(121.548, 121.566]","(17.52, 26.28]","(-0.01, 2.0]",1157.988,23.8
"(24.949, 24.965]","(121.511, 121.529]","(8.76, 17.52]","(-0.01, 2.0]",1717.193,30.5
"(24.949, 24.965]","(121.529, 121.548]","(-0.0438, 8.76]","(6.0, 8.0]",49.66105,56.8
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(6.0, 8.0]",587.8877,37.4
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",292.9978,69.7
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",289.3248,53.3
"(24.982, 24.998]","(121.529, 121.548]","(-0.0438, 8.76]","(8.0, 10.0]",132.5469,47.3
"(24.932, 24.949]","(121.511, 121.529]","(8.76, 17.52]","(-0.01, 2.0]",3529.564,29.3
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(2.0, 4.0]",506.1144,40.3
"(24.932, 24.949]","(121.492, 121.511]","(8.76, 17.52]","(-0.01, 2.0]",4066.587,12.9
"(24.982, 24.998]","(121.529, 121.548]","(17.52, 26.28]","(8.0, 10.0]",82.88643,46.6
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(-0.01, 2.0]",185.4296,55.3
"(24.949, 24.965]","(121.511, 121.529]","(8.76, 17.52]","(2.0, 4.0]",2103.555,25.6
"(24.949, 24.965]","(121.511, 121.529]","(8.76, 17.52]","(2.0, 4.0]",2251.938,27.3
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(6.0, 8.0]",122.3619,67.7
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(8.0, 10.0]",377.8302,38.6
"(24.949, 24.965]","(121.548, 121.566]","(-0.0438, 8.76]","(-0.01, 2.0]",1939.749,31.3
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(4.0, 6.0]",443.802,35.3
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(2.0, 4.0]",967.4,40.3
"(24.949, 24.965]","(121.492, 121.511]","(26.28, 35.04]","(-0.01, 2.0]",4136.271,24.7
"(24.965, 24.982]","(121.529, 121.548]","(17.52, 26.28]","(2.0, 4.0]",512.5487,42.5
"(24.965, 24.982]","(121.548, 121.566]","(35.04, 43.8]","(-0.01, 2.0]",918.6357,31.9
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(2.0, 4.0]",1164.838,32.2
"(24.949, 24.965]","(121.511, 121.529]","(8.76, 17.52]","(-0.01, 2.0]",1717.193,23.0
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(-0.01, 2.0]",170.1289,37.3
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(4.0, 6.0]",482.7581,35.5
"(24.949, 24.965]","(121.511, 121.529]","(-0.0438, 8.76]","(2.0, 4.0]",2175.03,27.7
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(-0.01, 2.0]",187.4823,28.5
"(24.982, 24.998]","(121.529, 121.548]","(26.28, 35.04]","(8.0, 10.0]",161.942,39.7
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",289.3248,41.2
"(24.949, 24.965]","(121.529, 121.548]","(17.52, 26.28]","(4.0, 6.0]",130.9945,37.2
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(6.0, 8.0]",372.1386,40.5
"(24.949, 24.965]","(121.548, 121.566]","(-0.0438, 8.76]","(-0.01, 2.0]",2408.993,22.3
"(24.949, 24.965]","(121.511, 121.529]","(17.52, 26.28]","(2.0, 4.0]",2175.744,28.1
"(24.932, 24.949]","(121.492, 121.511]","(8.76, 17.52]","(-0.01, 2.0]",4082.015,15.4
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(8.0, 10.0]",90.45606,50.0
"(24.965, 24.982]","(121.529, 121.548]","(17.52, 26.28]","(6.0, 8.0]",390.9696,40.6
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",104.8101,52.5
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(8.0, 10.0]",90.45606,63.9
